"priority","namespace","key","english","current_tamil","appears_on","flag","CORRECTED_TAMIL","REVIEWER_NOTES"
"1-SAFETY","requestDetails","journeyResponseTimerBody","Tap Start Helping below to confirm you are on your way. If unconfirmed in time, the request automatically reopens for nearby volunteers.","நீங்கள் வருவதை உறுதிப்படுத்த கீழே உள்ள உதவத் தொடங்கு என்பதைத் தட்டவும். குறித்த நேரத்தில் உறுதிப்படுத்தாவிட்டால், கோரிக்கை அருகிலுள்ள தன்னார்வலர்களுக்குத் தானாகவே மீண்டும் திறக்கும்.","(not found — may be built dynamically)","","",""
"1-SAFETY","requestDetails","journeyTemporaryMissionChat","Temporary Mission Chat","தற்காலிக மிஷன் சாட்","(not found — may be built dynamically)","","",""
"1-SAFETY","requestDetails","journeyTimerBody","You have 15 minutes to confirm and start helping.","உறுதிப்படுத்தி உதவத் தொடங்க உங்களுக்கு 15 நிமிடங்கள் உள்ளன.","VolunteerJourneyScreen","","",""
"1-SAFETY","requestDetails","leaveConfirmAction","Leave","வெளியேறு","RosterSection, VolunteerJourneyScreen","","",""
"1-SAFETY","requestDetails","leaveConfirmMessage","You will lose your volunteer slot and another volunteer can join.","உங்கள் தொண்டர் இடம் காலியாகும், மற்றொரு தொண்டர் இணையலாம்.","RosterSection, VolunteerJourneyScreen","","",""
"1-SAFETY","requestDetails","leaveConfirmTitle","Leave this mission?","இந்த பணியை விட்டு வெளியேறவா?","RosterSection, VolunteerJourneyScreen","","",""
"1-SAFETY","requestDetails","leaveMission","Leave Mission","பணியை விட்டு வெளியேறு","RosterSection","","",""
"1-SAFETY","requestDetails","locationSharedFallback","Location shared","இருப்பிடம் பகிரப்பட்டது","RequestDetailsScreen","","",""
"1-SAFETY","requestDetails","missionChatTitle","Mission Chat","மிஷன் சாட்","MissionChat","","",""
"1-SAFETY","requestDetails","ownerCancelConfirm","Cancel Request","கோரிக்கையை ரத்து செய்","RequestDetailsScreen","","",""
"1-SAFETY","requestDetails","ownerCancelFailed","Could not cancel request.","கோரிக்கையை ரத்து செய்ய முடியவில்லை.","RequestDetailsScreen","","",""
"1-SAFETY","requestDetails","ownerCancelKeep","Keep Active","செயலில் வைத்திரு","RequestDetailsScreen","","",""
"1-SAFETY","requestDetails","ownerCancelledMessage","This request has been cancelled.","இந்தக் கோரிக்கை ரத்து செய்யப்பட்டது.","RequestDetailsScreen","","",""
"1-SAFETY","requestDetails","ownerCancelledTitle","Request Cancelled","கோரிக்கை ரத்து செய்யப்பட்டது","RequestDetailsScreen","","",""
"1-SAFETY","requestDetails","ownerCancelMessage","Volunteers will be notified that help is no longer required.","உதவி இனி தேவையில்லை என்று தன்னார்வலர்களுக்கு அறிவிக்கப்படும்.","RequestDetailsScreen","","",""
"1-SAFETY","requestDetails","ownerCancelTitle","Cancel Request?","கோரிக்கையை ரத்து செய்யவா?","RequestDetailsScreen","","",""
"1-SAFETY","requestDetails","ownerDeleteConfirm","Delete","நீக்கு","RequestDetailsScreen","","",""
"1-SAFETY","requestDetails","ownerDeleteFailed","Could not delete report.","கோரிக்கையை நீக்க முடியவில்லை.","RequestDetailsScreen","","",""
"1-SAFETY","requestDetails","ownerDeleteLockedMessage","Delete is unavailable because volunteers have already joined. Please use Cancel Request instead.","ஏற்கனவே தன்னார்வலர்கள் இணைந்துவிட்டதால் நீக்க முடியாது. அதற்குப் பதிலாக கோரிக்கையை ரத்து செய்யவும்.","RequestDetailsScreen","","",""
"1-SAFETY","requestDetails","ownerDeleteLockedTitle","Delete Unavailable","நீக்க முடியாது","RequestDetailsScreen","","",""
"1-SAFETY","requestDetails","ownerDeleteMessage","This action will remove the request from your active reports.","இந்தச் செயல் உங்கள் செயலில் உள்ள கோரிக்கைகளிலிருந்து இதை நீக்கும்.","RequestDetailsScreen","","",""
"1-SAFETY","requestDetails","ownerDeleteTitle","Delete Request?","கோரிக்கையை நீக்கவா?","RequestDetailsScreen","","",""
"1-SAFETY","requestDetails","ownerEditLockedMessage","Editing is unavailable because volunteers have already joined this request.","இந்தக் கோரிக்கையில் ஏற்கனவே தன்னார்வலர்கள் இணைந்துவிட்டதால் திருத்த முடியாது.","RequestDetailsScreen","","",""
"1-SAFETY","requestDetails","ownerMenuCancel","Cancel Report","கோரிக்கையை ரத்து செய்","RequestDetailsScreen","","",""
"1-SAFETY","requestDetails","ownerMenuCancelSub","Help is no longer required","உதவி இனி தேவையில்லை","RequestDetailsScreen","","",""
"1-SAFETY","requestDetails","ownerMenuDelete","Delete Report","கோரிக்கையை நீக்கு","RequestDetailsScreen","","",""
"1-SAFETY","requestDetails","ownerMenuDeleteSub","Remove this request completely","இந்தக் கோரிக்கையை முழுமையாக நீக்கு","RequestDetailsScreen","","",""
"1-SAFETY","requestDetails","ownerMenuDeleteSubLocked","Unavailable — use Cancel Request instead","கிடைக்கவில்லை — அதற்குப் பதிலாக ரத்து செய்யவும்","RequestDetailsScreen","","",""
"1-SAFETY","requestDetails","ownerMenuEdit","Edit Report","கோரிக்கையைத் திருத்து","RequestDetailsScreen","","",""
"1-SAFETY","requestDetails","ownerMenuEditSub","Modify title, description, or volunteer count","தலைப்பு, விவரம் அல்லது தன்னார்வலர் எண்ணிக்கையை மாற்று","RequestDetailsScreen","","",""
"1-SAFETY","requestDetails","ownerMenuEditSubLocked","Unavailable — a volunteer has already joined","கிடைக்கவில்லை — ஒரு தன்னார்வலர் ஏற்கனவே இணைந்துவிட்டார்","RequestDetailsScreen","","",""
"1-SAFETY","requestDetails","ownerMenuTitle","Report Management","கோரிக்கை நிர்வாகம்","RequestDetailsScreen","","",""
"1-SAFETY","requestDetails","progressAccessibilityLabel_one","{{activeCount}} of {{count}} volunteer joined","தேவையான {{count}} தொண்டரில் {{activeCount}} பேர் இணைந்தனர்","(not found — may be built dynamically)","","",""
"1-SAFETY","requestDetails","progressAccessibilityLabel_other","{{activeCount}} of {{count}} volunteers joined","தேவையான {{count}} தொண்டர்களில் {{activeCount}} பேர் இணைந்தனர்","(not found — may be built dynamically)","","",""
"1-SAFETY","requestDetails","reporterBadge","Reporter","புகார் அளித்தவர்","CommunityComments","","",""
"1-SAFETY","requestDetails","reportOptionsLabel","Report Options","கோரிக்கை விருப்பங்கள்","RequestDetailsScreen","","",""
"1-SAFETY","requestDetails","share","Share","பகிர்","CategoryListScreen, ImpactStorySection","","",""
"1-SAFETY","requestDetails","shareMessage","See how the Uthavu community helped with ""{{title}}"":","""{{title}}"" க்கு உதவு சமூகம் எப்படி உதவியது என்பதைப் பாருங்கள்:","ImpactStorySection, InviteFriendsScreen","","",""
"1-SAFETY","requestDetails","shareStoryLabel","Share Story","கதையைப் பகிர்","RequestDetailsScreen","","",""
"1-SAFETY","requestDetails","startHelping","Start Helping","உதவத் தொடங்கு","RosterSection, VolunteerJourneyScreen","","",""
"1-SAFETY","requestDetails","volunteerJourneyTitle","Volunteer Journey","தன்னார்வலர் பயணம்","VolunteerJourneyScreen","","",""
"1-SAFETY","requestDetails","volunteerLimitReached","Volunteer limit reached","தொண்டர் வரம்பு நிறைவடைந்தது","RosterSection","","",""
"1-SAFETY","requestDetails","volunteersTitle","Volunteers","தொண்டர்கள்","RosterSection","","",""
"1-SAFETY","tabs","alerts.content.aVolunteer","A volunteer","ஒரு தன்னார்வலர்","AlertsScreen","","",""
"1-SAFETY","tabs","alerts.content.mission_completed.body","{{volunteerName}} marked “{{reportTitle}}” as complete.","{{volunteerName}} “{{reportTitle}}” ஐ நிறைவு செய்துள்ளார்.","(not found — may be built dynamically)","","",""
"1-SAFETY","tabs","alerts.content.mission_completed.title","Mission Completed","பணி நிறைவடைந்தது","DeleteAccountScreen, FlaggedCommentsScreen, InviteFriendsScreen, MissionJournalScreen, MyImpactStoriesScreen, SupportHomeScreen","","",""
"1-SAFETY","tabs","alerts.content.report_cancelled.body","The request you joined (“{{reportTitle}}”) has been cancelled by the reporter.","நீங்கள் இணைந்த கோரிக்கை (“{{reportTitle}}”) புகாரளித்தவரால் ரத்து செய்யப்பட்டது.","(not found — may be built dynamically)","","",""
"1-SAFETY","tabs","alerts.content.report_cancelled.title","Request Cancelled","கோரிக்கை ரத்து செய்யப்பட்டது","DeleteAccountScreen, FlaggedCommentsScreen, InviteFriendsScreen, MissionJournalScreen, MyImpactStoriesScreen, SupportHomeScreen","","",""
"1-SAFETY","tabs","alerts.content.volunteer_accepted.body","{{volunteerName}} is heading to help with “{{reportTitle}}”.","“{{reportTitle}}” என்பதற்கு உதவ {{volunteerName}} வருகிறார்.","(not found — may be built dynamically)","","",""
"1-SAFETY","tabs","alerts.content.volunteer_accepted.title","Volunteer Accepted","தன்னார்வலர் ஏற்றுக்கொண்டார்","DeleteAccountScreen, FlaggedCommentsScreen, InviteFriendsScreen, MissionJournalScreen, MyImpactStoriesScreen, SupportHomeScreen","","",""
"1-SAFETY","tabs","alerts.content.volunteer_released.body","{{volunteerName}} is no longer available to help with “{{reportTitle}}”.","“{{reportTitle}}” என்பதற்கு உதவ {{volunteerName}} இனி கிடைக்கவில்லை.","(not found — may be built dynamically)","","",""
"1-SAFETY","tabs","alerts.content.volunteer_released.title","Volunteer Update","தன்னார்வலர் புதுப்பிப்பு","DeleteAccountScreen, FlaggedCommentsScreen, InviteFriendsScreen, MissionJournalScreen, MyImpactStoriesScreen, SupportHomeScreen","","",""
"1-SAFETY","tabs","alerts.emptySubtitle","You'll see updates here when a volunteer responds to your reports.","ஒரு தன்னார்வலர் உங்கள் கோரிக்கைகளுக்குப் பதிலளிக்கும்போது புதுப்பிப்புகள் இங்கே தோன்றும்.","FlaggedCommentsScreen, MyImpactStoriesScreen, SupportHomeScreen","","",""
"1-SAFETY","tabs","categoryList.shareMessage","Someone nearby needs help on Uthavu: ""{{title}}""","உதவு-வில் அருகில் ஒருவருக்கு உதவி தேவை: ""{{title}}""","ImpactStorySection, InviteFriendsScreen","","",""
"1-SAFETY","tabs","categoryList.sortMostUrgent","Most Urgent","மிக அவசரம்","(not found — may be built dynamically)","","",""
"1-SAFETY","tabs","categoryList.statusUrgent","Urgent","அவசரம்","(not found — may be built dynamically)","","",""
"1-SAFETY","tabs","dashboard.activeMissionLabel","Active mission: {{title}}","செயலில் உள்ள பணி: {{title}}","DashboardScreen","","",""
"1-SAFETY","tabs","dashboard.activeMissionSub","Mission active · Tap to view and update","பணி செயலில் உள்ளது · பார்க்கவும் புதுப்பிக்கவும் தட்டவும்","DashboardScreen","","",""
"1-SAFETY","tabs","dashboard.activeMissionTag","ACTIVE MISSION IN PROGRESS","பணி நடைபெற்றுக் கொண்டிருக்கிறது","DashboardScreen","","",""
"1-SAFETY","tabs","dashboard.helpRequestsIn","Help Requests in {{city}}","{{city}} இல் உதவி கோரிக்கைகள்","DashboardScreen","","",""
"1-SAFETY","tabs","dashboard.helpRequestsNearby","Help Requests Nearby","அருகிலுள்ள உதவி கோரிக்கைகள்","DashboardScreen","","",""
"1-SAFETY","tabs","dashboard.radiusSheetSubCity","Showing help requests around {{city}}.","{{city}} ஐச் சுற்றியுள்ள உதவிக் கோரிக்கைகள்.","DashboardScreen","","",""
"1-SAFETY","tabs","dashboard.radiusSheetSubHere","Showing help requests around your current location.","உங்கள் தற்போதைய இருப்பிடத்தைச் சுற்றியுள்ள உதவிக் கோரிக்கைகள்.","DashboardScreen","","",""
"1-SAFETY","tabs","dashboard.statActiveVolunteers","Active Vols.","செயலில் உள்ளோர்","DashboardScreen","","",""
"1-SAFETY","tabs","dashboard.statHelped","Helped","உதவியது","DashboardScreen","","",""
"1-SAFETY","tabs","dashboard.statNeedHelp","Need Help","உதவி தேவை","DashboardScreen","","",""
"1-SAFETY","tabs","dashboard.statUrgent","Urgent","அவசரம்","DashboardScreen","","",""
"1-SAFETY","tabs","editProfile.subtitle","Your name is shown on reports you post, unless you post anonymously.","நீங்கள் அநாமதேயமாக பதிவிடும் வரை, உங்கள் பெயர் நீங்கள் பதிவிடும் கோரிக்கைகளில் காண்பிக்கப்படும்.","EditProfileScreen","","",""
"1-SAFETY","tabs","myHelps.acceptedTimeAgo","Accepted {{time}}","{{time}} ஏற்றுக்கொள்ளப்பட்டது","(not found — may be built dynamically)","","",""
"1-SAFETY","tabs","myHelps.emptyActiveSubtitle","Missions you volunteer for will show up here once you accept a request.","நீங்கள் ஒரு கோரிக்கையை ஏற்றுக்கொண்டவுடன், தன்னார்வத் தொண்டு செய்யும் பணிகள் இங்கே தோன்றும்.","(not found — may be built dynamically)","","",""
"1-SAFETY","tabs","myHelps.emptyActiveTitle","No active missions","செயலில் பணிகள் இல்லை","(not found — may be built dynamically)","","",""
"1-SAFETY","tabs","myHelps.emptyStoriesSubtitle","Completed missions you helped with will appear here.","நீங்கள் உதவிய நிறைவு செய்யப்பட்ட பணிகள் இங்கே தோன்றும்.","(not found — may be built dynamically)","","",""
"1-SAFETY","tabs","myHelps.header","My Helps","எனது உதவிகள்","MyHelpsScreen","","",""
"1-SAFETY","tabs","myHelps.postedAnonymously","Posted anonymously","அநாமதேயமாக வெளியிடப்பட்டது","CategoryListScreen, MyHelpsScreen","","",""
"1-SAFETY","tabs","myHelps.postedByDeletedUser","Posted by Deleted User","நீக்கப்பட்ட பயனர் வெளியிட்டார்","CategoryListScreen, MyHelpsScreen","","",""
"1-SAFETY","tabs","myHelps.statusHelpingInProgress","Helping in Progress","உதவி நடைபெறுகிறது","MyHelpsScreen","","",""
"1-SAFETY","tabs","myHelps.statusVolunteerAssigned","Volunteer Assigned","தன்னார்வலர் நியமிக்கப்பட்டார்","MyHelpsScreen","","",""
"1-SAFETY","tabs","myHelps.subtitle","Active missions & ongoing assistance queue","செயலில் உள்ள பணிகள் & தொடரும் உதவி வரிசை","(not found — may be built dynamically)","","",""
"1-SAFETY","tabs","myReports.badgeActiveMission","Active Mission","செயலில் உள்ள பணி","MyReportsScreen","","",""
"1-SAFETY","tabs","myReports.badgeCancelled","Cancelled","ரத்து செய்யப்பட்டது","MyReportsScreen","","",""
"1-SAFETY","tabs","myReports.badgeExpired","Expired","காலாவதியானது","MyReportsScreen","","",""
"1-SAFETY","tabs","myReports.emptyActiveSubtitle","You haven't posted any active help requests.","நீங்கள் இதுவரை எந்த உதவிக் கோரிக்கையும் வெளியிடவில்லை.","MyReportsScreen","","",""
"1-SAFETY","tabs","myReports.emptyActiveTitle","No active reports","செயலில் கோரிக்கைகள் இல்லை","(not found — may be built dynamically)","","",""
"1-SAFETY","tabs","myReports.emptyCancelledTitle","No cancelled reports","ரத்து செய்த கோரிக்கைகள் இல்லை","MissionJournalScreen","","",""
"1-SAFETY","tabs","myReports.emptyCompletedTitle","No completed reports","நிறைவு செய்த கோரிக்கைகள் இல்லை","MissionJournalScreen","","",""
"1-SAFETY","tabs","myReports.emptyExpiredTitle","No expired reports","காலாவதியான கோரிக்கைகள் இல்லை","(not found — may be built dynamically)","","",""
"1-SAFETY","tabs","myReports.tabCancelled","Cancelled","ரத்து","MissionJournalScreen","","",""
"1-SAFETY","tabs","myReports.tabExpired","Expired","காலாவதி","(not found — may be built dynamically)","","",""
"1-SAFETY","tabs","myReports.title","My Reports","எனது கோரிக்கைகள்","DeleteAccountScreen, FlaggedCommentsScreen, InviteFriendsScreen, MissionJournalScreen, MyImpactStoriesScreen, SupportHomeScreen","","",""
"1-SAFETY","tabs","profile.menuFlaggedComments","Flagged Comments","கொடியிடப்பட்ட கருத்துகள்","(not found — may be built dynamically)","","",""
"1-SAFETY","tabs","profile.menuHelpSupport","Help & Support","உதவி & ஆதரவு","(not found — may be built dynamically)","","",""
"1-SAFETY","tabs","profile.menuMissionJournal","Mission Journal (My Activity)","பணி நாட்குறிப்பு (எனது செயல்பாடு)","(not found — may be built dynamically)","","",""
"1-SAFETY","tabs","profile.missionsJoinedCount_one","{{count}} mission joined","{{count}} பணியில் இணைந்துள்ளீர்கள்","(not found — may be built dynamically)","","",""
"1-SAFETY","tabs","profile.missionsJoinedCount_other","{{count}} missions joined","{{count}} பணிகளில் இணைந்துள்ளீர்கள்","(not found — may be built dynamically)","","",""
"1-SAFETY","tabs","profile.missionsJoinedLabel","Missions Joined","இணைந்த பணிகள்","ProfileScreen","","",""
"1-SAFETY","tabs","profile.myReportsPill","My Reports","எனது கோரிக்கைகள்","ProfileScreen","","",""
"1-SAFETY","tabs","profile.noImpactStories","No impact stories yet — completed missions will show up here.","இதுவரை தாக்கக் கதைகள் இல்லை — நிறைவு செய்த பணிகள் இங்கே தோன்றும்.","ProfileScreen","","",""
"1-SAFETY","tabs","profile.reportsPostedCount_one","{{count}} report posted","{{count}} கோரிக்கையை பதிவிட்டுள்ளீர்கள்","(not found — may be built dynamically)","","",""
"1-SAFETY","tabs","profile.reportsPostedCount_other","{{count}} reports posted","{{count}} கோரிக்கைகளை பதிவிட்டுள்ளீர்கள்","(not found — may be built dynamically)","","",""
"1-SAFETY","tabs","profile.reportsPostedLabel","Reports Posted","பதிவிடப்பட்ட கோரிக்கைகள்","ProfileScreen","","",""
"1-SAFETY","tabs","settings.deleteAccount","Delete Account","கணக்கை நீக்கு","SettingsScreen","","",""
"1-SAFETY","tabs","settings.legalPrivacy","Privacy Policy","தனியுரிமைக் கொள்கை","(not found — may be built dynamically)","","",""
"1-SAFETY","tabs","settings.privacy","Privacy","தனியுரிமை","SettingsScreen","","",""
"1-SAFETY","tabs","settings.privacyHideName","Hide my name on new reports by default","புதிய கோரிக்கைகளில் எனது பெயரை இயல்பாக மறை","SettingsScreen","","",""
"1-SAFETY","tabs","settings.privacyHideNameSubtitle","You can still change this per report before posting.","வெளியிடுவதற்கு முன் ஒவ்வொரு கோரிக்கைக்கும் இதை மாற்றலாம்.","SettingsScreen","","",""
"1-SAFETY","tabs","settings.privacyHidePhone","Hide my phone number on new reports by default","புதிய கோரிக்கைகளில் எனது தொலைபேசி எண்ணை இயல்பாக மறை","SettingsScreen","","",""
"1-SAFETY","tabs","settings.privacyHidePhoneSubtitle","Volunteers won't see your number unless you choose to share it.","நீங்கள் பகிரத் தேர்வு செய்யாத வரை தன்னார்வலர்கள் உங்கள் எண்ணைப் பார்க்க மாட்டார்கள்.","SettingsScreen","","",""
"1-SAFETY","tickets","faq.acceptMission.answer","Open a nearby request from Home or a category list and tap ""I'll Help"". You then have 15 minutes to confirm you are on your way.","முகப்பிலோ வகைப் பட்டியலிலோ உள்ள அருகிலுள்ள கோரிக்கையைத் திறந்து ""நான் உதவுகிறேன்"" என்பதை அழுத்தவும். நீங்கள் புறப்பட்டதை உறுதிசெய்ய 15 நிமிடம் உண்டு.","(not found — may be built dynamically)","","",""
"1-SAFETY","tickets","faq.acceptMission.question","How do I accept a mission?","ஒரு மிஷனை எப்படி ஏற்பது?","(not found — may be built dynamically)","","",""
"1-SAFETY","tickets","faq.createRequest.answer","Tap the green + button in the middle of the bottom bar. Pick a category, take a live photo, add the details, and confirm the location to publish it.","கீழ்ப் பட்டியின் நடுவில் உள்ள பச்சை + பொத்தானை அழுத்தவும். ஒரு வகையைத் தேர்ந்தெடுத்து, நேரடிப் புகைப்படம் எடுத்து, விவரங்களைச் சேர்த்து, இருப்பிடத்தை உறுதிசெய்தால் பதிவு வெளியாகும்.","(not found — may be built dynamically)","","",""
"1-SAFETY","tickets","faq.createRequest.question","How do I create a help request?","உதவிக் கோரிக்கையை எப்படி உருவாக்குவது?","(not found — may be built dynamically)","","",""
"1-SAFETY","tickets","faq.editProfile.answer","Open the Profile tab and tap ""Edit Profile"". You can change your name, city, district, bio, and the categories you volunteer for.","சுயவிவரத் தாவலைத் திறந்து ""சுயவிவரத்தைத் திருத்து"" என்பதை அழுத்தவும். பெயர், நகரம், மாவட்டம், சிறு குறிப்பு, நீங்கள் தொண்டு செய்யும் வகைகள் ஆகியவற்றை மாற்றலாம்.","(not found — may be built dynamically)","","",""
"1-SAFETY","tickets","faq.missionExpired.answer","Tapping ""I'll Help"" holds your slot for 15 minutes. If you do not tap ""Start Helping"" in that time, the slot is released so another volunteer can take it.","""நான் உதவுகிறேன்"" என்பதை அழுத்தினால் உங்கள் இடம் 15 நிமிடம் ஒதுக்கப்படும். அந்த நேரத்தில் ""உதவத் தொடங்கு"" என்பதை அழுத்தவில்லை என்றால், இன்னொரு தொண்டர் எடுக்க அந்த இடம் விடுவிக்கப்படும்.","(not found — may be built dynamically)","","",""
"1-SAFETY","tickets","faq.missionExpired.question","Why did my mission expire?","என் மிஷன் ஏன் காலாவதியானது?","(not found — may be built dynamically)","","",""
"1-SAFETY","tickets","faq.reportContent.answer","Tap the options menu on the comment or request, then tap Report. Pick a reason, such as spam or harassment, and it goes to a moderator.","அந்தக் கருத்திலோ கோரிக்கையிலோ உள்ள விருப்பங்கள் மெனுவை அழுத்தி, புகாரளி என்பதைத் தேர்வுசெய்யவும். ஸ்பேம், தொந்தரவு போன்ற ஒரு காரணத்தைத் தேர்ந்தெடுத்தால் அது மதிப்பாய்வாளருக்குச் செல்லும்.","(not found — may be built dynamically)","","",""
"1-SAFETY","tickets","faq.reportContent.question","How do I report a comment or a request?","ஒரு கருத்தையோ கோரிக்கையையோ எப்படிப் புகாரளிப்பது?","(not found — may be built dynamically)","","",""
"1-SAFETY","tickets","photosPermissionNeeded","Allow photo access to attach a screenshot.","திரைப்பிடிப்பை இணைக்க புகைப்பட அணுகலை அனுமதிக்கவும்.","ProfileSetupScreen, SubmitTicketScreen","","",""
"1-SAFETY","tickets","statusNote.closed","This ticket is closed, so replies are turned off. Submit a new ticket if you still need help.","இந்த டிக்கெட் மூடப்பட்டுள்ளது, எனவே பதில்கள் நிறுத்தப்பட்டுள்ளன. இன்னும் உதவி தேவைப்பட்டால் புதிய டிக்கெட் சமர்ப்பியுங்கள்.","(not found — may be built dynamically)","","",""
"1-SAFETY","tickets","title","Help & Support","உதவி & ஆதரவு","DeleteAccountScreen, FlaggedCommentsScreen, InviteFriendsScreen, MissionJournalScreen, MyImpactStoriesScreen, SupportHomeScreen","","",""
"2-CORE","auth","addProfilePhoto","Add profile photo","சுயவிவரப் புகைப்படத்தைச் சேர்","ProfileSetupScreen","","",""
"2-CORE","auth","back","Back","பின்செல்","(not found — may be built dynamically)","","",""
"2-CORE","auth","chooseFromLibrary","Choose from Library","நூலகத்திலிருந்து தேர்ந்தெடு","ProfileSetupScreen","","",""
"2-CORE","auth","codeInputLabel","6-digit verification code","6 இலக்க சரிபார்ப்பு குறியீடு","OtpScreen","","",""
"2-CORE","auth","completeProfile","Complete Profile","சுயவிவரத்தை முடி","ProfileSetupScreen","","",""
"2-CORE","auth","continue","Continue","தொடரவும்","LoginScreen, PermissionsScreen","","",""
"2-CORE","auth","detectingArea","Detecting your area…","உங்கள் பகுதியைக் கண்டறிகிறது…","ProfileSetupScreen","","",""
"2-CORE","auth","emailLabel","Email address","மின்னஞ்சல் முகவரி","ProfileSetupScreen","","",""
"2-CORE","auth","emailPlaceholder","Email address (optional)","மின்னஞ்சல் முகவரி (விருப்பம்)","ProfileSetupScreen","","",""
"2-CORE","auth","enterProfessionPlaceholder","Enter your profession","உங்கள் தொழிலை உள்ளிடவும்","ProfileSetupScreen","","",""
"2-CORE","auth","fullNameLabel","Full name","முழுப் பெயர்","ProfileSetupScreen","","",""
"2-CORE","auth","fullNamePlaceholder","Full name","முழுப் பெயர்","ProfileSetupScreen","","",""
"2-CORE","auth","getStarted","Get Started","தொடங்குங்கள்","OnboardingScreen","","",""
"2-CORE","auth","invalidEmailError","Enter a valid email","சரியான மின்னஞ்சலை உள்ளிடவும்","ProfileSetupScreen","","",""
"2-CORE","auth","invalidOtpError","Invalid OTP. Please try again.","தவறான OTP. மீண்டும் முயற்சிக்கவும்.","OtpScreen","","",""
"2-CORE","auth","languageLabel","Preferred language","விருப்பமான மொழி","ProfileSetupScreen","","",""
"2-CORE","auth","languagePlaceholder","Preferred language (optional)","விருப்பமான மொழி (விருப்பம்)","ProfileSetupScreen","","",""
"2-CORE","auth","locationAccessTitle","Location Access","இருப்பிட அனுமதி","PermissionsScreen","","",""
"2-CORE","auth","locationErrorMessage","Please try again.","மீண்டும் முயற்சிக்கவும்.","PermissionsScreen","","",""
"2-CORE","auth","locationErrorTitle","Could not get your location","உங்கள் இருப்பிடத்தைப் பெற முடியவில்லை","PermissionsScreen","","",""
"2-CORE","auth","locationNeededAlertTitle","Location needed","இருப்பிடம் தேவை","PermissionsScreen","","",""
"2-CORE","auth","locationRequiredNote","Location access is required to continue.","தொடர இருப்பிட அனுமதி தேவை.","PermissionsScreen","","",""
"2-CORE","auth","loginSubtitle","We'll text you a one-time code to verify it's you.","நீங்கள் தான் என்பதை உறுதிசெய்ய ஒரு முறை குறியீட்டை உங்களுக்கு அனுப்புவோம்.","LoginScreen","","",""
"2-CORE","auth","loginTitle","Enter your number to continue","தொடர உங்கள் எண்ணை உள்ளிடவும்","LoginScreen","","",""
"2-CORE","auth","next","Next","அடுத்து","OnboardingScreen","","",""
"2-CORE","auth","notNow","Not now","இப்போது வேண்டாம்","PermissionsScreen","","",""
"2-CORE","auth","openSettings","Open Settings","அமைப்புகளைத் திற","PermissionsScreen","","",""
"2-CORE","auth","organizationLabel","Organization","நிறுவனம்","ProfileSetupScreen","","",""
"2-CORE","auth","organizationPlaceholder","Organization (optional)","நிறுவனம் (விருப்பம்)","ProfileSetupScreen","","",""
"2-CORE","auth","otpTitle","Verify number","எண்ணை சரிபார்க்கவும்","OtpScreen","","",""
"2-CORE","auth","photoUploadError","Could not upload photo. Tap to try again, or continue without one.","புகைப்படத்தைப் பதிவேற்ற முடியவில்லை. மீண்டும் முயற்சிக்க தட்டவும், அல்லது இல்லாமல் தொடரவும்.","CompleteMissionSheet, ProfileSetupScreen","","",""
"2-CORE","auth","professionLabel","Profession","தொழில்","ProfileSetupScreen","","",""
"2-CORE","auth","professionPlaceholder","Profession (optional)","தொழில் (விருப்பம்)","ProfileSetupScreen","","",""
"2-CORE","auth","profilePhotoAlertMessage","Add a photo so others can recognize you.","மற்றவர்கள் உங்களை அடையாளம் காண ஒரு புகைப்படத்தைச் சேர்க்கவும்.","ProfileSetupScreen","","",""
"2-CORE","auth","profilePhotoAlertTitle","Profile Photo","சுயவிவரப் புகைப்படம்","ProfileSetupScreen","","",""
"2-CORE","auth","profileSetupTitle","Set up your profile","உங்கள் சுயவிவரத்தை அமைக்கவும்","ProfileSetupScreen","","",""
"2-CORE","auth","pushNotificationsTitle","Push Notifications","புஷ் அறிவிப்புகள்","PermissionsScreen","","",""
"2-CORE","auth","resendCode","Resend Code","குறியீட்டை மீண்டும் அனுப்பு","OtpScreen","","",""
"2-CORE","auth","resendCodeIn","Resend code in","குறியீட்டை மீண்டும் அனுப்ப","OtpScreen","","",""
"2-CORE","auth","resendCodeLabel","Resend code","குறியீட்டை மீண்டும் அனுப்பு","OtpScreen","","",""
"2-CORE","auth","resendError","Could not resend code.","குறியீட்டை மீண்டும் அனுப்ப முடியவில்லை.","OtpScreen","","",""
"2-CORE","auth","saveProfileError","Could not save your profile. Try again.","உங்கள் சுயவிவரத்தைச் சேமிக்க முடியவில்லை. மீண்டும் முயற்சிக்கவும்.","ProfileSetupScreen","","",""
"2-CORE","auth","sendCodeError","Could not send code. Try again.","குறியீட்டை அனுப்ப முடியவில்லை. மீண்டும் முயற்சிக்கவும்.","LoginScreen","","",""
"2-CORE","auth","sending","Sending…","அனுப்புகிறது…","OtpScreen","","",""
"2-CORE","auth","showProfessionToggle","Show profession on public profile","பொது சுயவிவரத்தில் தொழிலைக் காட்டு","ProfileSetupScreen","","",""
"2-CORE","auth","skip","Skip","தவிர்","OnboardingScreen","","",""
"2-CORE","auth","skipOnboardingLabel","Skip onboarding","அறிமுகத்தைத் தவிர்","OnboardingScreen","","",""
